id,date,project,subtopic,minutes,rating,note
mrbrzo7krjeq,2026-07-08,Mind the Game - Football,Line Breaks,120,4,Explore line breaks and mid-field build-up spacing 
mr9jicol,2026-07-07,架設個人網站,新增子頁面,90,3,新增自學工具
